id,requestId,RefNo,TitleReferenceNoOfContract,CounterpartyName,ProductServices,businessunit,Department,ContractAmountHKD,contractstartdate,contractenddate,requested_date,requested_time,Status,contracttype,isDeleteProcess,reviewtier,modedatacreater,modedatacreatedate,modedatacreatetime,Over5M,Over100M,WithEndDate,Saved,IncludingExternalGuarantees,IsAuthoritySufficient,IsRisksAccepted,IsRenew,iscontractfinancial,needapreliminaryreviewbygroupl,PreliminaryReviewFlag,preliminaryreviewflag2,FlagNeedLegal,FlagNeedGFN,IfRelatedToData,relatedtocapexpropertyleasingc,generalpurchaseandoverhk50k,unlimitedliabilitiesorliabilit,allrelevantdocumentationhasbee,ihaveread10points,description,KeyChanges,assessmentprompt1,assessmentprompt7,ReasonToSubmitLT5M,ReasonsNoEndDa,NoteOnContractAmount
1,10001,CCA20260001,Fake contract 001,Lorem Consulting,Cloud ERP subscription (3 years),Legal,7,1433912,2024-05-22,2028-06-05,2024-05-08,10:00:00,1,General Purchase,0,1,1,2024-05-02,09:30:00,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,Fake contract for Warehouse logistics outsourcing. Auto-generated test data.,None (fake data),Key risks: none identified (synthetic record).,Mitigations documented in fake assessment.,Below threshold (fake),,Estimated spend (fake)
2,10002,CCA20260002,Fake contract 002,Fable Pharmaceuticals,Data annotation services,IT,7,5878008,2024-12-18,2025-06-14,2024-12-04,10:00:00,1,Financial,0,2,1,2024-11-28,09:30:00,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,Fake contract for Warehouse logistics outsourcing. Auto-generated test data.,None (fake data),Key risks: none identified (synthetic record).,Mitigations documented in fake assessment.,,,Estimated spend (fake)
3,10003,CCA20260003,Fake contract 003,Fable Pharmaceuticals,Network security audit,Procurement,4,2739572,2025-06-30,2026-08-28,2025-06-16,10:00:00,6,Licensing,0,1,1,2025-06-10,09:30:00,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,Fake contract for Cold-chain distribution. Auto-generated test data.,None (fake data),Key risks: none identified (synthetic record).,Mitigations documented in fake assessment.,Below threshold (fake),,Estimated spend (fake)
4,10004,CCA20260004,Fake contract 004,Sample Systems Asia,Catering services 2026-2028,Finance,8,117632290,2025-03-14,2027-09-07,2025-02-28,10:00:00,1,General Purchase,0,1,1,2025-02-22,09:30:00,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,Fake contract for Cloud ERP subscription (3 years). Auto-generated test data.,Renewal with updated pricing (fake),Key risks: none identified (synthetic record).,Mitigations documented in fake assessment.,,,Estimated spend (fake)
5,10005,CCA20260005,Fake contract 005,Lorem Consulting,Warehouse logistics outsourcing,Legal,2,24972279,2024-06-10,2026-03-01,2024-05-27,10:00:00,7,NDA,0,2,1,2024-05-21,09:30:00,1,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,Fake contract for Cloud ERP subscription (3 years). Auto-generated test data.,None (fake data),Key risks: none identified (synthetic record).,Mitigations documented in fake assessment.,,,Estimated spend (fake)
6,10006,CCA20260006,Fake contract 006,Ipsum Cloud Services,Network security audit,Finance,4,26879290,2025-07-16,2028-09-28,2025-07-02,10:00:00,6,Licensing,0,2,1,2025-06-26,09:30:00,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,Fake contract for Office laptop refresh (200 units). Auto-generated test data.,None (fake data),Key risks: none identified (synthetic record).,Mitigations documented in fake assessment.,,,Estimated spend (fake)
7,10007,CCA20260007,Fake contract 007,Placeholder Logistics HK,Print advertising package,Legal,8,5694394,2025-11-16,2029-02-22,2025-11-02,10:00:00,2,Property Leasing,0,2,1,2025-10-27,09:30:00,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,Fake contract for HR payroll SaaS licence. Auto-generated test data.,Renewal with updated pricing (fake),Key risks: none identified (synthetic record).,Mitigations documented in fake assessment.,,,Estimated spend (fake)
8,10008,CCA20260008,Fake contract 008,Fable Pharmaceuticals,Catering services 2026-2028,IT,8,35529407,2024-05-23,2026-03-14,2024-05-09,10:00:00,7,Financial,0,1,1,2024-05-03,09:30:00,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,Fake contract for Network security audit. Auto-generated test data.,None (fake data),Key risks: none identified (synthetic record).,Mitigations documented in fake assessment.,,,Estimated spend (fake)
9,10009,CCA20260009,Fake contract 009,Acme Fictitious Trading Co,Print advertising package,Marketing,1,84593961,2024-06-07,2025-11-24,2024-05-24,10:00:00,6,Licensing,0,1,1,2024-05-18,09:30:00,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,Fake contract for Catering services 2026-2028. Auto-generated test data.,Renewal with updated pricing (fake),Key risks: none identified (synthetic record).,Mitigations documented in fake assessment.,,,Estimated spend (fake)
10,10010,CCA20260010,Fake contract 010,Demo Foods International,HR payroll SaaS licence,Finance,5,139169584,2025-06-19,2027-03-05,2025-06-05,10:00:00,4,Service Agreement,0,3,1,2025-05-30,09:30:00,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,Fake contract for HR payroll SaaS licence. Auto-generated test data.,None (fake data),Key risks: none identified (synthetic record).,Mitigations documented in fake assessment.,,,Estimated spend (fake)
